"","corp","year","senti","FORESTS_LABEL","FORESTS_PROB","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","txt"
"1","000002","2011",NA,"0",0.81,"0",0.780929141379233,"0",0.82197992274239,"0",1,"0",0.999999887464838,NA
"2","000002","2012",NA,"0",0.915,"0",0.772936236591572,"0",0.989623329395899,"0",1,"0",0.999954602131298,NA
"3","000002","2013",NA,"0",0.84,"0",0.924204876999754,"0",0.951629758700376,"0",1,"0",0.999999999962249,NA
"4","000004","2011",NA,"0",0.785,"0",0.682484820137337,"0",0.957243403019879,"0",0.999992869990732,"0",0.880797077977882,NA
"5","000004","2012",NA,"0",0.915,"0",0.810402565138621,"0",0.745623688949284,"0",0.999999999973527,"0",0.999993855825398,NA
"6","000004","2013",NA,"0",0.915,"0",0.79583250933539,"0",0.988539668903258,"0",0.999999971243693,"0",0.999999999994891,NA
"7","000005","2012",NA,"0",0.945,"0",0.871131765606052,"0",0.989162175868194,"0",0.999999623907346,"0",0.999999997938846,NA
"8","000005","2013",NA,"0",0.92,"0",0.873000593237056,"0",0.989162175868194,"0",0.999963322475339,"0",0.999999984770021,NA
"9","000006","2011",NA,"0",0.84,"0",0.797153697304361,"0",0.985321600418489,"0",0.99999997581403,"0",0.999993855825398,NA
"10","000006","2012",NA,"0",0.96,"0",0.846342613821096,"0",0.989623329395899,"0",0.999999991882261,"0",0.999999999721053,NA
"11","000006","2013",NA,"0",0.915,"0",0.792617863624322,"0",0.965575863332005,"0",0.796179452607829,"0",0.999999887464838,NA
"12","000007","2011",NA,"0",0.89,"0",0.752285143499516,"0",0.989623329395899,"0",1,"0",0.999999999999309,NA
"13","000007","2012",NA,"0",0.905,"0",0.708075840858122,"0",0.981163083516245,"0",0.999999998116298,"0",0.999954602131298,NA
"14","000007","2013",NA,"0",0.935,"0",0.721333056795005,"0",0.984784232098408,"0",0.999999987084039,"0",0.999999997938846,NA
"15","000008","2011",NA,"0",0.995,"0",0.887376483260444,"0",0.989623329395899,"0",0.945166681311757,"0",0.999999999999906,NA
"16","000008","2012",NA,"0",0.965,"0",0.862662301248751,"0",0.989623329395899,"0",0.997728043849162,"0",0.999999997938846,NA
"17","000008","2013",NA,"0",0.87,"0",0.85366881134478,"0",0.989162175868194,"0",0.999999846991949,"0",0.999999997938846,NA
"18","000009","2011",NA,"0",0.785,"0",0.541038033657461,"0",0.947456736695965,"0",0.999998870428697,"1",0.999999999721053,NA
"19","000009","2012",NA,"0",0.67,"1",0.657787952636795,"0",0.742606211825201,"0",0.999999879370841,"1",0.999999999721053,NA
"20","000009","2013",NA,"0",0.655,"1",0.659371171689071,"0",0.942179969221932,"0",0.9197865983401,"1",0.999999999721053,NA
"21","000010","2011",NA,"0",0.94,"0",0.737088994067257,"0",0.989623329395899,"1",0.999928834017986,"0",0.999999999962249,NA
"22","000010","2012",NA,"0",0.83,"0",0.634282197639753,"0",0.770467176019297,"0",0.99999999953195,"0",0.880797077977882,NA
"23","000010","2013",NA,"0",0.84,"0",0.549430172085746,"1",0.597166266389272,"0",0.999999999999999,"0",0.880797077977882,NA
"24","000011","2012",NA,"0",0.91,"0",0.772905662679059,"0",0.956890276684157,"0",0.999999999996211,"0",0.880797077977882,NA
"25","000011","2013",NA,"0",0.915,"0",0.86064130709283,"0",0.956890276684157,"0",0.999998350422959,"0",0.999999887464838,NA
"26","000012","2011",NA,"0",0.94,"0",0.804476455878126,"0",0.989623329395899,"0",0.999999877184527,"0",0.999999999721053,NA
"27","000012","2012",NA,"0",0.99,"0",0.905043638206386,"0",0.989623329395899,"0",0.99897069828343,"0",0.999999999999987,NA
"28","000012","2013",NA,"0",0.96,"0",0.826836715702755,"0",0.987701478487694,"0",0.999951628180626,"0",0.999999887464838,NA
"29","000014","2011",NA,"0",0.96,"0",0.883551177525295,"0",0.987348333034102,"0",0.999999689809729,"0",0.999999999999309,NA
"30","000014","2012",NA,"0",0.97,"0",0.901344487070227,"0",0.989623329395899,"0",0.999999996522499,"0",1,NA
"31","000014","2013",NA,"0",0.93,"0",0.879631637272891,"0",0.989623329395899,"0",0.999999979462159,"0",0.999999999999309,NA
"32","000016","2011",NA,"0",0.825,"0",0.5,"0",0.925826246132546,"0",0.999999999720529,"1",0.997527376843365,NA
"33","000016","2012",NA,"0",0.965,"0",0.850779256653253,"0",0.981030564636986,"0",0.996369058770039,"0",0.999999997938846,NA
"34","000017","2011",NA,"0",0.985,"0",0.886159076199941,"0",0.987701478487694,"0",0.997520687038529,"0",0.999999999721053,NA
"35","000017","2012",NA,"0",1,"0",0.908959469904184,"0",0.989623329395899,"0",0.992934136460682,"0",0.999999999999987,NA
"36","000017","2013",NA,"0",1,"0",0.888348823794371,"0",0.989623329395899,"0",0.999241774797565,"0",0.999999999994891,NA
"37","000018","2011",NA,"0",0.95,"0",0.839874017290684,"0",0.984763854031443,"1",0.79982050544811,"0",0.999999999994891,NA
"38","000018","2012",NA,"0",1,"0",0.887901242429126,"0",0.989623329395899,"0",0.949993241804939,"0",0.999999999994891,NA
"39","000018","2013",NA,"0",0.98,"0",0.885289590195154,"0",0.989623329395899,"0",0.981288742488493,"0",0.999999999962249,NA
"40","000019","2011",NA,"0",0.755,"0",0.722945925516704,"1",0.812656668262299,"0",0.996633356016823,"1",0.999999168471972,NA
"41","000019","2012",NA,"0",0.86,"0",0.599922744255903,"0",0.972858316082443,"1",0.99973688326281,"1",0.999999999994891,NA
"42","000019","2013",NA,"0",0.745,"1",0.645240115369009,"0",0.984582333715785,"1",0.999997398407642,"1",0.999999984770021,NA
"43","000020","2011",NA,"0",0.995,"0",0.873528232633453,"0",0.989623329395899,"0",0.943675842591855,"0",0.999999997938846,NA
"44","000020","2012",NA,"0",0.94,"0",0.815229976190438,"0",0.879740055765527,"0",0.934283418825076,"0",0.982013790037908,NA
"45","000020","2013",NA,"0",0.91,"0",0.861242483006197,"0",0.984582333715785,"0",0.990414884632558,"0",0.999993855825398,NA
"46","000021","2011",NA,"0",0.88,"0",0.730490622539432,"0",0.976004228156096,"1",0.750459554224229,"0",0.999999887464838,NA
"47","000021","2012",NA,"0",0.945,"0",0.88146727855054,"0",0.943865480911221,"0",0.998856826038409,"0",0.999999999962249,NA
"48","000021","2013",NA,"0",0.95,"0",0.80986140778022,"0",0.989623329395899,"0",0.999416568617401,"0",0.999999984770021,NA
"49","000022","2011",NA,"0",0.89,"0",0.854239018097058,"0",0.981223111849275,"0",0.999282318300219,"0",0.999999168471972,NA
"50","000022","2012",NA,"0",0.935,"0",0.849585858101952,"0",0.977148965043441,"0",0.999820468951011,"0",0.999999999721053,NA
"51","000022","2013",NA,"0",0.96,"0",0.838645526671878,"0",0.984582333715785,"0",0.996238234882083,"0",0.999999984770021,NA
"52","000023","2011",NA,"0",0.92,"0",0.815119784602449,"0",0.985428924708129,"0",0.999999983568432,"0",0.999999984770021,NA
"53","000023","2012",NA,"0",0.94,"0",0.848678815763625,"0",0.94852570724322,"0",0.999999999924552,"0",0.999999168471972,NA
"54","000023","2013",NA,"0",0.94,"0",0.831237280114166,"0",0.987701478487694,"0",0.999994215886794,"0",0.999999997938846,NA
"55","000024","2011",NA,"0",0.89,"0",0.769333612783968,"0",0.984763854031443,"0",0.999999987612423,"0",0.999664649869534,NA
"56","000024","2012",NA,"0",0.835,"0",0.783926120334632,"0",0.989623329395899,"0",0.999999999999999,"0",0.997527376843365,NA
"57","000024","2013",NA,"0",0.85,"0",0.773381340003741,"0",0.987348333034102,"0",0.999999834764772,"0",0.999954602131298,NA
"58","000025","2011",NA,"0",0.975,"0",0.892259274574676,"0",0.989623329395899,"0",0.997007347548194,"0",0.999999999999998,NA
"59","000025","2012",NA,"0",0.925,"0",0.818516441868045,"0",0.985011514345532,"0",0.999988736333564,"0",0.999999999994891,NA
"60","000025","2013",NA,"0",0.94,"0",0.855705519314011,"0",0.950023490608124,"0",0.999781248338503,"0",0.999999999962249,NA
"61","000026","2011",NA,"0",0.93,"0",0.857029993641651,"0",0.982250834011663,"0",0.959049631944271,"0",0.999993855825398,NA
"62","000026","2012",NA,"0",0.97,"0",0.877736675405982,"0",0.985428924708129,"0",0.99723831110872,"0",0.999999999721053,NA
"63","000026","2013",NA,"0",0.97,"0",0.880156588429214,"0",0.882741955349198,"0",0.812118273392879,"0",0.999999999721053,NA
"64","000027","2011",NA,"0",0.935,"0",0.813783934016468,"0",0.989070623409012,"0",0.99893377808824,"0",0.999664649869534,NA
"65","000027","2012",NA,"0",0.96,"0",0.889492540346726,"0",0.989623329395899,"0",0.999993932700436,"0",0.999999887464838,NA
"66","000027","2013",NA,"0",0.995,"0",0.914688149349338,"0",0.984424583065527,"0",0.999680975880456,"0",1,NA
"67","000028","2011",NA,"0",0.89,"0",0.602376967576982,"0",0.986870970050044,"0",0.523652602530821,"1",0.999664649869534,NA
"68","000028","2012",NA,"0",0.915,"0",0.696738162490574,"0",0.921357555642417,"0",0.506695127862841,"0",0.999993855825398,NA
"69","000028","2013",NA,"0",0.88,"0",0.728813721584406,"0",0.983616634240833,"0",0.999881503167456,"0",0.999999168471972,NA
"70","000029","2011",NA,"0",0.93,"0",0.85284375344673,"0",0.989623329395899,"0",0.993128881432841,"0",0.999999984770021,NA
"71","000029","2012",NA,"0",0.92,"0",0.775337147661373,"0",0.973024166516328,"0",0.965445051149368,"0",0.999999168471972,NA
"72","000029","2013",NA,"0",0.845,"0",0.809760269838081,"0",0.936346977359168,"0",0.999995524551767,"0",0.999999997938846,NA
"73","000031","2011",NA,"0",0.87,"0",0.798150704115286,"0",0.94093337054933,"0",1,"0",0.999954602131298,NA
"74","000031","2012",NA,"0",0.88,"0",0.797197703616583,"0",0.986990678764451,"0",1,"0",0.999664649869534,NA
"75","000031","2013",NA,"0",0.83,"0",0.678470099419716,"0",0.985321600418489,"0",0.999999994883005,"0",0.999999984770021,NA
"76","000032","2011",NA,"0",0.935,"0",0.788897916922036,"0",0.818932488491894,"0",0.99772638589487,"0",0.999999999962249,NA
"77","000032","2012",NA,"0",0.87,"0",0.670793405006219,"0",0.987701478487694,"0",0.680722849007114,"0",0.999999999994891,NA
"78","000032","2013",NA,"0",0.845,"0",0.760710928810624,"0",0.976642146117638,"0",0.999327415872071,"0",0.999999887464838,NA
"79","000033","2011",NA,"0",0.91,"0",0.908965275996379,"0",0.981443436653036,"0",0.999999998853266,"0",0.999999999999906,NA
"80","000033","2012",NA,"0",0.89,"0",0.850654293632127,"0",0.984582333715785,"0",0.99999999416986,"0",0.999999168471972,NA
"81","000033","2013",NA,"0",0.91,"0",0.749235697931754,"0",0.984582333715785,"0",1,"0",0.999999997938846,NA
"82","000034","2011",NA,"0",0.895,"0",0.733289422722326,"0",0.986759367692794,"0",0.999999976930994,"0",0.999999997938846,NA
"83","000034","2012",NA,"0",0.975,"0",0.859155629099665,"0",0.987701478487694,"0",0.993846669603936,"0",0.999999887464838,NA
"84","000034","2013",NA,"0",0.92,"0",0.854805417169268,"0",0.987701478487694,"0",0.995711142251255,"0",0.999999997938846,NA
"85","000036","2011",NA,"0",0.74,"0",0.655041160845643,"1",0.9414794141928,"0",1,"0",0.999954602131298,NA
"86","000036","2012",NA,"0",0.85,"0",0.801126657370358,"0",0.899749741071824,"0",1,"0",0.982013790037908,NA
"87","000036","2013",NA,"0",0.87,"0",0.890023657617131,"0",0.97836500291681,"0",0.999999999999999,"0",0.999999999999309,NA
"88","000037","2011",NA,"0",0.82,"0",0.542454214848112,"0",0.981334077275277,"0",0.998797543116838,"0",0.880797077977882,NA
"89","000037","2012",NA,"0",0.945,"0",0.845824334236658,"0",0.981852012755543,"0",0.999512517738881,"0",0.999954602131298,NA
"90","000038","2011",NA,"0",0.945,"0",0.896171318444994,"0",0.989623329395899,"0",0.999999999999818,"0",0.999999999962249,NA
"91","000038","2012",NA,"0",0.905,"0",0.840573274374242,"0",0.931375668616975,"0",1,"0",0.999999999999309,NA
"92","000038","2013",NA,"0",0.92,"0",0.895465266771034,"0",0.989162175868194,"0",0.999999999994533,"0",0.999999984770021,NA
"93","000039","2011",NA,"0",0.67,"1",0.735296638504256,"0",0.500243109307167,"0",1,"1",0.999999887464838,NA
"94","000039","2012",NA,"0",0.64,"1",0.592545848284348,"0",0.517592660324999,"0",1,"1",0.997527376843365,NA
"95","000039","2013",NA,"0",0.65,"0",0.551093031072034,"1",0.696811812497384,"0",1,"1",0.880797077977882,NA
"96","000040","2011",NA,"0",0.93,"0",0.828334434877959,"0",0.974560788229213,"0",0.999999999949756,"0",0.999993855825398,NA
"97","000040","2012",NA,"0",0.905,"0",0.834000018010429,"0",0.989623329395899,"0",0.999999918062976,"0",0.999999887464838,NA
"98","000040","2013",NA,"0",0.845,"0",0.781977119755263,"0",0.985321600418489,"0",0.999999391129091,"0",0.880797077977882,NA
"99","000042","2011",NA,"0",0.955,"0",0.867953430878187,"0",0.989623329395899,"0",0.99999998483907,"0",0.999999887464838,NA
"100","000042","2012",NA,"0",0.885,"0",0.757694834399887,"0",0.989623329395899,"0",0.999999999999704,"0",0.999664649869534,NA
"101","000042","2013",NA,"0",0.905,"0",0.846979126384982,"0",0.989623329395899,"0",0.999999912015937,"0",0.999999999962249,NA
